,gene_id,disease_count,gene_name,gene_symbol,organism,other_symbols,synonyms
753,2657,22,,,,,
754,2776,22,,,,,
755,9990,22,,,,,
756,7436,22,,,,,
757,2121,22,,,,,
758,583,22,,,,,
759,4704,22,,,,,
760,27030,22,,,,,
761,5277,22,,,,,
762,6584,22,,,,,
763,8242,22,,,,,
764,9939,22,,,,,
765,4627,22,,,,,
766,326,22,,,,,
767,1290,22,,,,,
768,811,22,,,,,
769,6557,22,,,,,
770,2563,22,,,,,
771,7051,22,,,,,
772,4247,22,,,,,
773,6496,22,,,,,
774,1371,22,,,,,
775,5158,22,,,,,
776,1719,22,,,,,
777,6295,22,,,,,
778,4282,22,,,,,
779,9131,22,,,,,
780,23414,22,,,,,
781,29887,22,,,,,
782,4015,22,,,,,
783,6299,22,,,,,
784,9056,22,,,,,
785,8086,22,,,,,
786,9927,22,,,,,
787,3909,22,,,,,
788,3728,22,,,,,
789,3248,22,,,,,
790,3694,22,,,,,
791,672,22,,,,,
792,3028,22,,,,,
793,2296,22,,,,,
794,3908,22,,,,,
795,1583,22,,,,,
796,5657,22,,,,,
797,3000,22,,,,,
798,6786,22,,,,,
799,3827,22,,,,,
800,3848,22,,,,,
801,5216,21,,,,,
802,6102,21,,,,,
803,54806,21,,,,,
804,760,21,,,,,
805,190,21,,,,,
806,7486,21,,,,,
807,7275,21,,,,,
808,9782,21,,,,,
809,4157,21,,,,,
810,410,21,,,,,
811,2023,21,,,,,
812,4036,21,,,,,
813,3988,21,,,,,
814,7037,21,,,,,
815,7076,21,,,,,
816,3766,21,,,,,
817,6736,21,,,,,
818,3561,21,,,,,
819,6664,21,,,,,
820,1293,21,,,,,
821,959,21,,,,,
822,5922,21,,,,,
823,3480,21,,,,,
824,7351,21,,,,,
825,7372,21,,,,,
826,7390,21,,,,,
827,10102,21,,,,,
828,3350,21,,,,,
829,10265,21,,,,,
830,7450,21,,,,,
831,658,21,,,,,
832,4791,21,,,,,
833,9217,21,,,,,
834,6337,21,,,,,
835,8643,21,,,,,
836,2752,21,,,,,
837,4915,21,,,,,
838,1814,21,,,,,
839,4901,21,,,,,
840,5009,21,,,,,
841,1548,21,,,,,
842,22954,21,,,,,
843,10939,21,,,,,
844,27235,21,,,,,
845,2903,21,,,,,
846,10133,21,,,,,
847,54888,21,,,,,
848,859,21,,,,,
849,27125,21,,,,,
850,5741,21,,,,,
851,1509,21,,,,,
852,554,21,,,,,
853,10891,21,,,,,
854,8518,21,,,,,
855,50485,21,,,,,
856,5053,21,,,,,
857,2908,21,,,,,
858,27086,21,,,,,
859,25794,20,,,,,
860,5308,20,,,,,
861,3420,20,,,,,
862,2566,20,,,,,
863,2562,20,,,,,
864,2952,20,,,,,
865,2702,20,,,,,
866,2548,20,,,,,
867,9244,20,,,,,
868,4830,20,,,,,
869,54463,20,,,,,
870,10483,20,,,,,
871,1244,20,,,,,
872,2313,20,,,,,
873,6928,20,,,,,
874,9150,20,,,,,
875,5145,20,,,,,
876,10686,20,,,,,
877,9128,20,,,,,
878,2303,20,,,,,
879,51684,20,,,,,
880,894,20,,,,,
881,51204,20,,,,,
882,23020,20,,,,,
883,4359,20,,,,,
884,3791,20,,,,,
885,3785,20,,,,,
886,9719,20,,,,,
887,2521,20,,,,,
888,59341,20,,,,,
889,2705,20,,,,,
890,2255,20,,,,,
891,10594,20,,,,,
892,54820,20,,,,,
893,4692,20,,,,,
894,3178,20,,,,,
895,7547,20,,,,,
